gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,stat
ZNF14,50.7119663548873,3.03681722559966,0.36618686842392,7.1992803255835e-10,7.92272020220311e-08,Upregulated
ZNF430,57.7363704516533,2.14981447559316,0.297046693768312,4.2594511353404e-06,0.000206652080888773,Upregulated
NPHS1,44.2088480119498,2.2778366230832,0.633442189634049,0.00101966266832586,0.0240037458755806,Upregulated
NFKBID,137.691360499658,4.43598063075514,0.433170061984194,2.15075530545458e-17,7.46477533708544e-15,Upregulated
ZNF461,76.6038076866736,1.83663655645184,0.21994788396827,8.80702114097644e-06,0.000384554316658894,Upregulated
ZNF567,134.860646481497,2.19471634355651,0.292103923696417,1.65563029940437e-06,8.68628361734012e-05,Upregulated
NFKBIB,615.191818144703,1.64102054385973,0.233281055469868,0.000542585978371916,0.0142058874337374,Upregulated
IFNL3,223.294080798452,5.36349982520593,1.98154083017984,1.95283789906129e-05,0.000795954676769122,Upregulated
IFNL2,255.196351359902,5.37903878929812,2.09273770075725,2.30359902038193e-05,0.00090908210903469,Upregulated
IFNL1,303.447258620827,5.9201268433465,2.02023798339752,8.20277353875198e-06,0.000364398829982742,Upregulated
ZFP36,2122.96155655518,3.14781083271604,0.602024209761939,5.65459666224929e-06,0.000263026187011018,Upregulated
PLEKHG2,847.175192487024,2.55045393423175,0.249412308686614,1.98387311768572e-11,2.85677728946744e-09,Upregulated
EID2B,79.0593850048306,1.62533646988187,0.222408390336204,0.000467391771035647,0.0125849588377333,Upregulated
PRX,77.4995412890107,2.10460280505203,0.37065707015381,0.000108419693116489,0.00360582055534347,Upregulated
SERTAD3,551.436138588228,2.08317691629706,0.238897892130933,2.54102793959217e-07,1.56342519046907e-05,Upregulated
POU2F2,134.404923502837,2.95084130728856,0.334597210108369,1.65839391045079e-10,2.0979457917628e-08,Upregulated
PSG5,7.75389114213693,-2.36916770529505,0.794181671518163,0.00148708099735973,0.0331616612524899,Downregulated
LYPD3,400.007537680443,2.90681832064519,0.602316061463879,2.62279799167167e-05,0.00102017797745022,Upregulated
PINLYP,9.32741081326843,3.60602885964178,0.587175044562199,1.20093766770582e-07,8.04747142082476e-06,Upregulated
ZNF230,52.3269588288077,1.75445626630424,0.294224633953919,0.000694385492212344,0.0173526084492452,Upregulated
ZNF222,43.412367889393,1.98052214932296,0.271998735335747,1.48515844577132e-05,0.000614773844708277,Upregulated
BCL3,909.801679350136,2.75610492823475,0.334874165034766,5.04320684829576e-09,4.58153341600882e-07,Upregulated
RELB,358.801807609414,1.9249395842986,0.336938165330728,0.000292879869502584,0.00838144167777375,Upregulated
FOSB,408.723044542327,3.42610846261653,1.21002360295882,0.000212065215440448,0.00632271972731696,Upregulated
HIF3A,15.6969912256848,-14.3515093394835,1.89896283026372,2.44357096038525e-13,4.53098308490065e-11,Downregulated
ZC3H4,457.035736321874,2.08953725729149,0.146500049471905,4.86719525582997e-15,1.13590267211922e-12,Upregulated
BBC3,472.228718553699,2.25062754844521,0.507664250690627,0.000385356384263228,0.0106235927034359,Upregulated
DBP,57.57009525376,3.56041218363526,0.416168972966513,1.28725928288226e-11,1.91476281902135e-09,Upregulated
PLEKHA4,182.309104146665,3.38819497045678,0.947795934237326,8.45610507991445e-05,0.00289776805979043,Upregulated
PPP1R15A,4125.94801988274,4.52287862913572,0.433175946007799,4.10291910496205e-18,1.63344450014019e-15,Upregulated
ADM5,49.3087826437042,2.63180469080593,0.509330411580501,3.05540825022684e-05,0.00116501425563579,Upregulated
ZNF473,210.57583560884,1.60385997958886,0.195002271951225,0.000201311782326042,0.0060420316753111,Upregulated
ZNF350,57.9576336293218,2.15393171025305,0.26502146148145,5.42488484917378e-07,3.13808723582975e-05,Upregulated
ZNF615,54.0805432183963,2.34268454753449,0.297206554697772,2.25764686609225e-07,1.40181229263416e-05,Upregulated
ZNF614,104.433923305878,2.00447636247318,0.336396003728299,0.00012301472120115,0.00400102000929542,Upregulated
ZNF432,118.044973750601,2.75215604691678,0.379398961049934,1.12762672959867e-07,7.63177770592383e-06,Upregulated
ZNF28,68.4131710281571,2.25139857773633,0.728997350958755,0.00183767585357767,0.039483778339726,Upregulated
ZNF160,252.351487550855,1.85417143158169,0.337099991109422,0.000609126157149109,0.015556852194661,Upregulated
ZNF845,122.802121128157,2.11818533045456,0.312090594312647,1.34525987759372e-05,0.000560290390864879,Upregulated
IL11,167.118093500497,1.84931016230243,0.411643687158889,0.00197021618577206,0.0418006995150636,Upregulated
ZNF805,68.8952806395091,2.33075357838659,0.255871049488912,7.6661770830076e-09,6.73827097373967e-07,Upregulated
ZNF543,47.3646669090632,2.18753498032875,0.36701662386183,4.26739370161977e-05,0.00157393572602521,Upregulated
ZNF547,18.8236500726858,3.01026984793378,0.496490604959443,1.07218496558548e-06,5.92371252823063e-05,Upregulated
ZNF773,41.9282334491017,1.79462360667822,0.309315004931367,0.000626571265756591,0.0159722573508121,Upregulated
ZNF211,168.476696395897,3.01409388085129,0.255117693407201,9.45572665931151e-17,3.04744562048668e-14,Upregulated
ZNF776,158.184834256659,1.88750459591771,0.287660179408371,0.000109013955172134,0.00361625803750063,Upregulated
ZNF256,23.6991280567394,2.67141978454947,0.520021388617672,2.84768932325206e-05,0.0010950659852142,Upregulated
CMPK2,408.082990277173,5.4035741749407,0.918783260655917,5.95931840035667e-09,5.34207509054489e-07,Upregulated
RSAD2,1664.13442633248,5.9434453802332,1.08711747882476,9.60429420648246e-09,8.23531386434807e-07,Upregulated
GRHL1,188.680148831807,4.70828357754994,0.361130607724083,9.74095510757423e-27,1.19866880305568e-23,Upregulated
KLF11,205.002504012423,2.50118161130374,0.313434565908533,5.76334594411747e-08,4.19422853223516e-06,Upregulated
ODC1,1893.6458597501,1.98053862476786,0.322269615068915,0.00010662397065744,0.00356547778059293,Upregulated
DNAJC27,70.1376124192528,1.91544646321899,0.270186366705958,3.66728878500578e-05,0.00137890058316217,Upregulated
CENPA,143.421512461428,2.42465346867861,0.285534833591872,2.20956306102346e-08,1.72882344474067e-06,Upregulated
BRE-AS1,34.8947585464997,4.11106911308141,0.464855709599038,2.43119291069637e-13,4.53098308490065e-11,Upregulated
THUMPD2,185.021760119881,1.94076950520159,0.17735977836331,6.0974202265106e-09,5.42991317013471e-07,Upregulated
SOCS5,424.525530410101,1.71551913868235,0.26447772682741,0.00050995127831861,0.0135347068692563,Upregulated
FOXN2,333.14822641529,2.33951725382403,0.301619975154845,3.21127233719531e-07,1.93690039683017e-05,Upregulated
STON1,11.7190609144996,2.84388653233921,0.751076358193927,0.000184632030968946,0.00560354074259116,Upregulated
CCDC85A,39.4022529434226,2.13709668774041,0.523209403792755,0.000913239078903435,0.021990941609742,Upregulated
REL,93.460154736491,3.24325027634351,0.339952980403764,1.00033223433739e-12,1.67166631160381e-10,Upregulated
SERTAD2,666.534422994881,3.48649763560894,0.299953844512077,2.22874623514753e-18,9.14191182998695e-16,Upregulated
MEIS1,71.6569724253541,1.87241074982557,0.341815962534295,0.000558655907823299,0.0145143308412594,Upregulated
FBXO48,21.2732108720679,2.39945791892783,0.45729059925275,6.01030004685551e-05,0.00216370801686798,Upregulated
MXD1,998.912803186229,2.35120051770976,0.46586255308897,0.000102658583327667,0.00344810566730348,Upregulated
TET3,442.37444945473,2.66306910522252,0.246850107546332,6.2843590478283e-13,1.07677321609372e-10,Upregulated
KDM3A,1214.82221837094,1.92929771331787,0.362614650841736,0.000487535657523998,0.013016336607978,Upregulated
MAL,52.7587101681449,-16.8917270983476,1.3503076363867,7.07876498495609e-33,1.36883089766237e-29,Downregulated
NEURL3,119.476689758135,3.29671761136865,0.639455573137676,4.5128544678426e-06,0.000216617014456445,Upregulated
MITD1,259.74205413336,1.65515053622921,0.191332107676186,5.67117238496534e-05,0.00205253982360671,Upregulated
IL1RL2,10.5049429074312,3.61352091282777,1.02491946262584,6.18849493187213e-05,0.00221607056607992,Upregulated
C2orf49,162.857769743769,1.5482498275051,0.180498722578016,0.000284215413494456,0.00818540390864034,Upregulated
IL1A,1390.76882349649,5.2472305936545,0.705867657741406,9.88209927382869e-12,1.5200465428471e-09,Upregulated
CBWD2,164.077356633273,1.46982862526206,0.195565164885352,0.00227397867783042,0.0473547313586348,Upregulated
CYP27C1,45.2925755971045,1.87555415439772,0.426827520877073,0.00191631808695277,0.0407850340015609,Upregulated
CCNT2,547.803884142446,2.12832677501543,0.219108491892858,1.13065451740862e-08,9.56533721727691e-07,Upregulated
CXCR4,439.047908415635,3.65985897875927,0.763306745397996,4.61923410652462e-06,0.000220939762777093,Upregulated
ZEB2,159.590747204086,2.43528731957533,0.57312960737855,0.000272893469665835,0.00792942568403435,Upregulated
TANK,675.336176504597,2.110844169362,0.253611975720159,5.02318042150916e-07,2.93076595627362e-05,Upregulated
IFIH1,1067.31997001454,3.79286910431426,0.672380339105914,3.44965816881468e-07,2.06613154748122e-05,Upregulated
RAPGEF4,40.4433419658366,3.09783433818444,0.437479314909432,3.71106768672154e-08,2.7907229004146e-06,Upregulated
NFE2L2,1574.49592248969,1.78695820561929,0.26306911889007,0.000180996582345595,0.00551794986177924,Upregulated
